product_id,name,short_name,multiplier
a.DCE,黄大豆1号,a,10
ag.SHFE,白银,ag,15
al.SHFE,铝,al,5
au.SHFE,黄金,au,1000
b.DCE,黄大豆2号,b,10
bb.DCE,细木工板,bb,500
bu.SHFE,石油沥青,bu,10
c.DCE,黄玉米,c,10
cs.DCE,玉米淀粉,cs,10
cu.SHFE,阴极铜,cu,5
eb.DCE,苯乙烯,eb,5
eg.DCE,乙二醇,eg,10
fb.DCE,中密度纤维板,fb,500
fu.SHFE,燃料油,fu,10
hc.SHFE,热轧卷板,hc,10
i.DCE,铁矿石,i,100
j.DCE,冶金焦炭,j,100
jd.DCE,鲜鸡蛋,jd,10
jm.DCE,焦煤,jm,60
l.DCE,线型低密度聚乙烯,l,5
m.DCE,豆粕,m,10
ni.SHFE,镍,ni,1
p.DCE,棕榈油,p,10
pb.SHFE,铅,pb,5
pp.DCE,聚丙烯,pp,5
rb.SHFE,螺纹钢,rb,10
rr.DCE,粳米,rr,10
ru.SHFE,天然橡胶,ru,10
sn.SHFE,锡,sn,1
sp.SHFE,漂白硫酸盐针叶木浆,sp,10
ss.SHFE,不锈钢,ss,5
v.DCE,聚氯乙烯,v,5
wr.SHFE,线材,wr,10
y.DCE,大豆原油,y,10
zn.SHFE,锌,zn,5
